name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,description,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,notes,sales_id,created_by,updated_by,deleted_at,import_session_id
LA Cafe,prospect,,A,,,,,,Flint,MI,,Vegan/ Vegetarian,,,,,,,,meeting-awaiting assigned sales rep names,,,,,
LA Carreta,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
LA Casa de Isaac & Moishe,customer,,C,,,,,,Highland Park,IL,,Fine Dining,,,,,,,,Lead from Lauren Scatena.,,,,,
LA Catedral,prospect,,C,,,,,2500 S Christiana Ave,Chicago,IL,60623,Breakfast/Brunch,,,,,,,,,,,,,
LA Otra Radio Chicago,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
LA Rabida Childerns Hospital,prospect,,B,,,,,,,,,Healthcare,,,,,,,,,,,,,
Lacoco'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Lady Gregory'S,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Laine Too,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Lannings Foods,distributor,,A,,,,,,Mount Vernon,OH,,Distributor,,,,,,,,,,,,,
Lark Restaurant & Bar,customer,,C,,,,,,Chicago,IL,,Casual,,,,,,,,,,,,,
Larosa,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Lassen'S Tap,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Lcacao,customer,,B,,,+1-314-477-9085,,,,,,Fine Dining,,,,,,,,,,,,,
Le Bouchon,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Le Colonial,customer,,A,,,,,,,IL,,Fine Dining,,,,,,,,,,,,,
Leeds Public,customer,,A,,,+1-773-825-2400,,,,,,Chain/Group Member,,,,,,,,SYSCO CONTRACT,,,,,
Legacy Hospitality,customer,,A,,,,,,,,,Management company,,,,,,,,,,,,,
Leona�S Pizzeria,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Lesaffre,prospect,,A,,,+1-773-878-7340,,5419 N Sheridan,Chicago,IL,60647,Group Purchasing Organization,,jMatuszewski@lettuce.com,,,,,,,,,,,
Lesa'S Dairy Dip,prospect,,C,,,,,,Bowling Green,KY,,Fast food,,,,,,,,emailed about samples interest,,,,,
Letour,customer,,A,,,,,,Evanston,,,Fine Dining,,,,,,,,,,,,,
Lfg,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Lillie'S Q,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Lipari,distributor,,A,,,,,,Detroit,,,Distributor,,,,,,,,,,,,,
Llcc,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Local West,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Lockeepers,customer,,A,,,,,,Independence,OH,,Gastropub,,,,,,,,Lead from Delmonicos,,,,,
Logan'S Roadhouse,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Lola'S Tacos & Tequila,customer,,C,,,+1-847-855-8741,,170 W Grand Ave #337,Gurnee,IL,60031,Ethnic,,,,,,,,,,,,,
Long John Silvers,customer,,B,,,+1-773-276-7110,,"2657 N Kedzie Ave Chicago, Il",Chicago,IL,,Casual,,,,,,,,,,,,,
Longman &Eagle,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Lost Larson,unknown,,C,,,,,,,,,,,,,,,,,Has cheese curds on the menu already. Hoping to switch them to Kaufhold's. .,,,,,
Lost Never Found,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Lot,customer,,A,,,,,,,,,Pizza,,,,,,,,,,,,,
Lou Malnati,customer,,D,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Lowe'S O'Hare,customer,,A,,,,,,,,,Hospitality,,,,,,,,,,,,,
Lowlands Group,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Loyola Hospital,prospect,,A,,,,,,,,,Healthcare,,,,,,,,,,,,,
Lucchese Italian Restaurant,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Lucellas,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Lucky/S,customer,,A,,,,,,East Lamsing,MI,,Fine Dining,,,,,,,,chain of 8 restaurantsts-fine steakhouse,,,,,
Ludwig Fish and Produce,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Lula Cafe,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Macroman Meals,prospect,,C,,,+1-502-289-6464,,1812 W Muhammad Ali Blvd,Louisville,KY,40203,Meal Prep Service,,,,,,,,,,,,,
Madame Zusus,prospect,,D,,,+1-847-926-7359,,1876 1st St,Highland Park,IL,60035,Vegan/ Vegetarian,,,,,,,,,,,,,
Madison Pub,customer,,B,,,+1-630-455-5520,,"7611 S. Madison St Burr Ridge, Il",,,,Gastropub,,,,,,,,,,,,,
Madison Pub & Grill,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Madison'S Pub and Grill,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Madison'S Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Main Street Cafe,unknown,,B,,,+1-312-988-0687,,"731 W Lake St Chicago, Il",Chicago,IL,,,,,,,,,,,,,,,
Maki Sushi and Teriyaki,prospect,,C,,,,,,,KY,,Food Truck,,,,,,,,,,,,,
Mako,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mali,customer,,A,,,,,,Saugatuck,MI,,Gastropub,,,,,,,,erun rogers plant based leads gfs,,,,,
Maloney Cunningham,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Mama Delia,customer,,B,,,+1-312-944-8888,,"8 W Maple St Chicago, Il",Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Mancuso Cheese Company,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Pavlou Restaurant Group,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Pappas Restaurant Group,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Maple and Ash,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Maple Lake Assisted Living,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Maplewood,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Marcus Hotels and Resorts,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mark Burkhalter,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Mark Vend Company,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Mark'S Tavern,customer,,B,,,,,"2121 S Prairie Ave Chicago, Il",Chicago,IL,,Gastropub,,,,,,,,Sampled FS frites. Paneling 3/8,,,,,
Marriott Marquis Chicago,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Marshall'S Landing,customer,,C,,,+1-312-610-8050,,222 W Merchandise Mart Plaza,Chicago,IL,60654,Fine Dining,,,,,,,,Left samples of Frites Street with the GM Mario for Chef Lupe Gonzalez.,,,,,
"Martin Produce, INC",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Marz,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Matajer Al Arabiah Trading Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Matc College,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Mather,customer,,A,,,,,,,,,Casual,,,,,,,,,,,,,
Matrix Club Naperville,prospect,,C,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Matt and Tonys Columbus,customer,,C,,,+1-614-914-8484,,340 E Gay St,Columbus,OH,43215,Gastropub,,,,,,,,Message Chef Javier Alvarez on how to get him and his team samples,,,,,
Max and Erma'S,customer,,B,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Mb Restaurant Group LLC,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mccormick Food & Beverage,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Mcnulty'S Bier Markt,prospect,,B,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
"Meats by Linz, INC",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Medinah Cc,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Meijer,unknown,,C,,,,,,,,,,,,,,,,,Will visit this week. Will bring fries.,,,,,
Melco Distributing,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Mercadito,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mercado,customer,,C,,,,,,Fort Wayne,IN,,Casual,,,,,,,,,,,,,
Mercy Medical,prospect,,A,,,,,,,IL,,Healthcare,,,,,,,,GFS ROSEMONT F/U,,,,,
Merkley & Sons Packing Co,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Merry Milk Maid,distributor,,A,,,,,,Urbancrest,OH,,Distributor,,,,,,,,,,,,,
Mesh Systems,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Mesker Park Zoo,unknown,,D,,,,,,,,,,,,,,,,,"Chef Amy; sysco, usf, gfs, greco; 2 other locations - City & Uptown...same owner; samplesd and Dill was a favorite",,,,,
Messiah,customer,,A,,,,,,,,,College & Universites,,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA,,,,,
Metro Grill & Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mexo Gr,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Meyer'S Castle,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mfb,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Michael Jordans,customer,,D,,,,,,,,,Pizza,,,,,,,,"Dropped off a kaufholds kit with the chef, will try with owner.",,,,,
Michael'S Finer Meat'S,distributor,,A,,,,,,Columbus,OH,,Distributor,,,,,,,,,,,,,
Michael'S Pizza,customer,,C,,,,,,,,,Education,,,,,,,,,,,,,
Mid Town Distributors,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Midtown Athletic Club,prospect,,A,,,+1-773-796-6523,,2444 N Elston Ave,Chicago,IL,60647,Country Clubs/Golf/Health Fitness,,,,,,,,"Lizet Lopez was the rep here, we are unaware of who the rep is now. I would like to show them Frites Street, Verticle Acres and possibly some of our vegan brands.",,,,,
Midway Restaurant Dev,unknown,,D,,,,,,,,,,,,,,,,,Met Joe Fitzgerald @ Franklin Room. Expressed alot of interest in kennebec high-end fry. Will follow up by email,,,,,
Midwest Foods,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Midwest Training & Ice Center,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Milano'S Pizza,Subs and Taps",customer,,C,,,,,,,KY,,Gastropub,,,,,,,,,,,,,
Millenium,customer,,A,,,,,,,MI,,Chain/Group Member,,,,,,,,,,,,,
Millenium Restaurant Group,customer,,A,,,,,,,MI,,Chain/Group Member,,,,,,,,Sent emil on TCFB Holiday Blitz,,,,,
Milwaukee Area Technical College,customer,,D,,,,,,,,,College & Universites,,,,,,,,,,,,,
Minneapolis Public Schools,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Mino'S Italian,customer,,A,,,,,,Winnetka,,,Fine Dining,,,,,,,,,,,,,
Miss Mamies Seafood and Steaks,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mister B'S Pizza and Wings Bowling Green Ky,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mister B'S Pizza and Wings Murray Ky,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mmd,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Modern Interiors,customer,,B,,,,,,,,,Pizza,,,,,,,,,,,,,
Moffett Food Service,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Monicals Pizza,customer,,B,,,,,,,,,Pizza,,,,,,,,,,,,,
Monteverde,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Moody Bible Institute,customer,,A,,,+1-800-356-6639,,820 N LA Salle Dr,Chicago,IL,60610,College & Universites,,,,,,,,They are GFS supplied and HPS contracted. Executive chef is Fabian.garcia@moody.edu.,,,,,
Moody Tongue,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Motor City Soul Food Express,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Mott St,unknown,,B,,,,,1401 N. Ashland Avenue,Chicago,IL,,,,,,,,,,,,,,,
Mott Street,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
"Msi Foods, INC",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Mugsy'S Hideout Murray,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Munchies,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Munro Pizzaria,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Mush Foods,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Muze,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
My Big Fat Shawarma,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Naf Naf Grill,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Nanobrew,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
National Restaurant Association,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Nationwide Arena,customer,,A,,,,,200 W Nationwide Blvd,Columbus,OH,43215,Entertainment/Casinos/Theatres,,,,,,,,Shipped Chef Sean Barger a box of Annasea Ahi Tuna and Salmon,,,,,
Native Foods,prospect,,B,,,,,,Chicago,IL,,Vegan/ Vegetarian,,,,,,,,"Dame - Owner; On Ja Lee, wife. Interest in PB cheesecake for VDay",,,,,
Natural Direct,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Naty'S Pizza,customer,,C,,,,,3849 W 26th St,Chicago,IL,,Chain/Group Member,,,,,,,,,,,,,
Nehemiah'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Nellies,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
New Beginnings Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Newport Cafe & Go Grocer,prospect,,C,,,,,,,,,Retail,,,,,,,,,,,,,
Next,customer,,C,,,,,,,,,Pizza,,,,,,,,,,,,,
Nick'S Pizza,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Nicky'S Gyro'S,prospect,,C,,,,,,,,,Fast food,,,,,,,,Received free samples of curds for 30th anniversy. Follow up on samples of frites week of 2-17,,,,,
No Vacancy,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Noble Dq,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Noble Romans,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Noco Provisions,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
North Point,prospect,,C,,,,,,Lake Zurich,IL,,Bar/Lounge,,,,,,,,Lead came in from USF Rep Lori Taylor.,,,,,
North Pond,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
North Star (Brassica Parent?),unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Northamerican Concessions,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Northern Il U,customer,,A,,,+1-312-500-6666,,"509 N. Wells Street Chicago, Il",Chicago,IL,,College & Universites,,,,,,,,,,,,,
The Patio,customer,,A,,,,,,Chicago,,,Chain/Group Member,,,,,,,,800k annual 3/8 Simplot 251019 buyer thru Greco,,,,,
Northside Yacht Club,customer,,D,,,,,,,,,Education,,,,,,,,,,,,,
Northwestern,customer,,A,,,,,,,,,College & Universites,,,,,,,,,,,,,
Noshville Delicatessen,unknown,,C,,,,,,Nashville,TN,,,,,,,,,,,,,,,
Not Just Cookies,unknown,,A,,,,,,Chicago,IL,60651,,,,,,,,,Wholesale Bakery at 1340 N Homan in Chicago. ordered Wicks,,,,,
Notre Dame,customer,,A,,,,,,South Bend,,,College & Universites,,,,,,,,,,,,,
Nu Bistro,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Nu Wave,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Obc Kitchens,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Obi Cai Restaurant Group,customer,,A,,,,,,Fort Wayne,IN,,Chain/Group Member,,,,,,,,,,,,,
Ocharley,customer,,B,,,+1-773-916-6421,,"4419 W. Montrose Ave Chicago, Il",Chicago,IL,,Gastropub,,,,,,,,,,,,,
Ohio University,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Old Irving Brewing Company,customer,,A,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Old National Executive Chef,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Old National Catering Operations Manager,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Old National Concession and Bar Manager,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Old National Director of F&B,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Old National Events Plaza Evansville,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Old River Tap and Social,customer,,B,,,,,,,,,Casual,,,,,,,,,,,,,
Olde Stone Country Club,prospect,,C,,,,,,Bowling Green,KY,,Country Clubs/Golf/Health Fitness,,,,,,,,intro,,,,,
Olympia Fields,prospect,,A,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Omakase Yume,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
O'Mara Foods,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
One Hope United,customer,,B,,,+1-312-496-0012,,622 W. Randolph Street Unitc-101,Chicago,IL,,Chain/Group Member,,,,,,,,Avac � big star-dubs not Sysco luncheonette � Publican � quality meats � the publican � the violet hour,,,,,
One of a Kind Hospitality,customer,,A,,,,,,,,,Management company,,,,,,,,,,,,,
One Off Hospitality,customer,,A,,,,,,,,,Management company,,,,,,,,Cooking and topping with cheese to show product and leaving him Samples,,,,,
Only Fries Food Truck Bg,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Open Kitchens,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Original Bagel & Bialy,customer,,B,,,+1-312-877-5339,,"661 W. Walnut Street, Chicago",Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Oriole,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Orlando Greco & Son Impor,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Osteria Lang He,customer,,D,,,,,,,,,Education,,,,,,,,,,,,,
P & L Foodservice Co,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Pancho Food Distibutors,distributor,,A,,,,,,Tinley Park,IL,,Distributor,,,,,,,,Met with Ken Stieger 1/24,,,,,
Pancho Food Products,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Panchos Taqueria & Catering,customer,,C,,,,,,,,,Ethnic,,,,,,,,,,,,,
Papi'S Pizza,customer,,C,,,,,,Fort Wayne,IN,,Pizza,,,,,,,,,,,,,
Pappas,customer,,A,,,,,2501 W. 16th Street,Chicago,IL,,Chain/Group Member,,,,,,,,The Hampton social Nisos prime bass mint Costa the Hampton social,,,,,
Parker Restaurant Group,customer,,A,,,,,,,,,Management company,,,,,,,,"+1 (312) 846-6158 1017 N Halsted St Chicago, IL 60642 United States",,,,,
Parker'S,customer,,C,,,,,,Downers Grove,,,Fine Dining,,,,,,,,,,,,,
Parkhurst Dining,prospect,,A,,,,,,Pittsburgh,PA,,Group Purchasing Organization,,,,,,,,W/w sustainability and sourcing director for over 400 MW accounts served,,,,,
Parlay Bar and Kitchen,customer,,B,,,,,1100 Dennison Ave,Columbus,OH,43201,Entertainment/Casinos/Theatres,,,,,,,,Shipped Director of Operations Joe Flynn(Peerless Managment Group) a Annasea sample Pack,,,,,
Parts Town,customer,,D,,,,,,,,,Pizza,,,,,,,,,,,,,
Pat'S Pizza and Ristorante,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Paulie Gee�S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Pavlou Group,customer,,A,,,,,,Valparaiso,IN,,Chain/Group Member,,,,,,,,"Chris Pavlou owns Radius, Maple and Bacon, TommyB's, Sandwich City and two more CP locations. Ched Edward at Maple and Chef Louis at Radius",,,,,
Ohio State,customer,,A,,,,,,,OH,,College & Universites,,,,,,,,Sent TCFB Holiday promo,,,,,
Peaches' Cafe/Uofc,customer,,A,,,,,,,,,College & Universites,,,,,,,,,,,,,
Pear Chef,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Peck Distributing,distributor,,A,,,,,,Maple Heights,OH,,Distributor,,,,,,,,,,,,,
Penn State,customer,,A,,,,,,,,,College & Universites,,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA,,,,,
Penn Station,unknown,,D,,,,,,,,,,,,,,,,,"Buying USF Dill, low usage caused special order status",,,,,
Pepino'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Pepsico,customer,,C,,,+1-773-327-1512,,2207 N Clybourn Ave,Chicago,IL,,Pizza,,,,,,,,,,,,,
Pequod'S Pizza,customer,,A,,,+1-847-470-9161,,8520 Fernald Ave,Morton Grove,IL,,Pizza,,,,,,,,,,,,,
Perf Fs - Bowling Green,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Perf Fs - Cincinnati,distributor,,A,,,,,,Cincinnati,OH,,Distributor,,,,,,,,,,,,,
Pescadon,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
PFG - Reinhart Bg House,distributor,,A,,,,,,Bowling Green,KY,,Distributor,,,,,,,,,,,,,
PFG - Somerset Ky DC,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
PFG - Jordan Gottlieb,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Pfs - Chicago,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Pfs - Chicago E&S,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Pfs - Ellenbee,distributor,,A,,,,,,Fairfield,OH,,Distributor,,,,,,,,,,,,,
"Pfs - Ohio, Oh Pizza Prod.",distributor,,A,,,,,,Monroe,OH,,Distributor,,,,,,,,,,,,,
Pfs - Somerset,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Piazza,distributor,,A,,,,,,,,,Distributor,,,,,,,,Sent emil on TCFB Holiday Blitz,,,,,
Picnic Digital Food Court,prospect,,B,,,,,,,,,Fast food,,,,,,,,,,,,,
Pics Produce INC,distributor,,A,,,,,,Cincinnati,OH,,Distributor,,,,,,,,,,,,,
"Pier 48 Indy, LLC",unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Pilot Project,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Pine Rest,prospect,,A,,,,,,Grand Rapids,MI,,Healthcare,,,,,,,,Sam Butler dropped BB and LL samples off 1/28,,,,,
Pinewood Social,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Gibsons,customer,,A,,,,,,,IL,,Management company,,,,,,,,"RL, Hugo,Quartino, Lux Bar, Bazaar MLL, Bar Mar, Boathouse",,,,,
Pinstripes,customer,,A,,,,,,,,,Management company,,,,,,,,,,,,,
Pita Inn,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Pizza Express,customer,,C,,,,,1224 Old Gallatin Rd,Scottsville,KY,42164,Pizza,,,,,,,,Reba and Jim owners tried the Bakeable curds looking to get them thru DOT Foods,,,,,
Pizza Friendly Pizza -- 16 on Center,customer,,D,,,,,,,,,Gastropub,,,,,,,,Sampled thrunPFG rep-twice the cost-15k #!annually/2) flip sends Brady connect with investor Mike Schatzman,,,,,
Planeterians,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Planks Tavern on the Water,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Plantastic Indy,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Planteneers,customer,,B,,,+1-773-523-7437,,"2119 S Halsted St Chicago, Il",Chicago,IL,,Gastropub,,,,,,,,,,,,,
Pleasant House Pub,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Plymouth Place,unknown,,C,,,,,820 N LA Salle Dr,,,,,,,,,,,,,,,,,
Pointe Dairy Service,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Pollak Dist Co INC,distributor,,A,,,,,,Euclid,OH,,Distributor,,,,,,,,,,,,,
Pompette,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Poole Foods, INC",distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Port Drive in,customer,,B,,,,,2501 W. 16th Street,Chicago,IL,,Chain/Group Member,,,,,,,,Likes product. Cutting. Craig will follow up. 8/19,,,,,
Portillo'S,customer,,B,,,,,"1000 W. Fulton Market, Chicago, Illinois",Chicago,IL,,Chain/Group Member,,,,,,,,,,,,,
Portillo'S Hot Dogs,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Porto,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Postboy,customer,,A,,,,,1509 Chapel Drive,Chicago,IL,,Chain/Group Member,,,,,,,,,,,,,
Potbelly,unknown,,A,,,,,,,,,,,,,,,,,Spoke on FS. Will connect us will potential customers,,,,,
Premier Produce - Columbus,distributor,,A,,,,,,Columbus,OH,,Distributor,,,,,,,,,,,,,
US Foods-Wixom,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,emailed Rick-phoned left vm.,,,,,
US Foods-Detroit,distributor,,C,,,,,,,,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Cincinnatti,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Nashville,distributor,,A,,,,,,,TN,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Chicago Corp,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Chicago Chicago,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Chicago Bensenville,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Chicago Aurora,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Milwaukee,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
US Foods-Baraboo,distributor,,A,,,,,,,,,Distributor,,,,,,,,Emailed announcing TCFB Holiday and McCrum representation,,,,,
Prepared Foods Magazine,customer,,B,,,+1-312-726-7777,,"222 N Lasalle Blvd Chicago, Il",Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Prima,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Prime and Provisions,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Prime Steak,customer,,A,,,,,,,,,Fine Dining,,,,,,,,Dropped off sample kit with bartender of behalf of rep. Very busy when I visited.,,,,,
Principal,customer,,A,,,,,,,MI,,Fine Dining,,,,,,,,,,,,,
Progress Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Prosperity Social Club,customer,,D,,,,,,,,,Casual,,,,,,,,,,,,,
Provecho,customer,,A,,,+1-312-404-0440,,332 East Illinois St,Chicago,IL,60611,Chain/Group Member,,,,,,,,,,,,,
Proximo,customer,,A,,,,,,Fort Wayne,IN,,Chain/Group Member,,,,,,,,,,,,,
Psquare Hospitality,customer,,A,,,,,,,,,Education,,,,,,,,Ashley passes on VA,,,,,
