name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,notes,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,sales_id,created_by,updated_by,deleted_at,import_session_id
Indienne,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Informa Markets/Supplyside/Food & Beverage Insider,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Inner City Entertainment,unknown,,D,,,,,,,,,Sales Notes: Sampling chips-Sysco Chgo,,,,,,,,,,,,
Innsbrook,prospect,,D,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Innsbrook Cc,prospect,,B,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Inspiration Kitchens,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Instantwhip Foods INC,unknown,,C,,,,,,,,,,,,,,,,,,,,,
International Meat Co,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Irbn,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Italia Gardens,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
J. Alexander,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
"J. Mark Enterprises, LLC",customer,,B,,,,,41 E. Superior,Chicago,IL,,Type: Gastropub,,,,,,,,,,,,
Jake Melnicks Corner Tap,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Jay Mark Group,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Jb Bailey Investments,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Jesse Oaks,prospect,,C,,,,,,Gages Lake,IL,,"Type: Bar/Lounge

Sales Notes: Lead came in from USF Rep Lori Taylor.",,,,,,,,,,,,
Jodi'S Italian Ice Factory,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Joe Frontera & Sons,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Joe Seafood,customer,,B,,,,,"60 E. Grand Avenue Chicago, Illinois",Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Joe'S Seafood Prime Steak and Stone Crab,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Johnnies Beef,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Johnnys,customer,,A,,,,,,Independence,OH,,"Type: Gastropub

Sales Notes: Lead from Delmonicos",,,,,,,,,,,,
John'S Food and Wine,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Josephine,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Joy Yee,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Joy Yee Noodle,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Joys Pizza,prospect,,B,,,,,,Brunswick,OH,,"Type: Fast food

Sales Notes: W/w Atalntic Distributor Rep JOSH CHAMBERS",,,,,,,,,,,,
Joyworldmburger,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Jp Graziano,prospect,,A,,,,,901 W Randolph St,Chicago,IL,60607,Type: Italian,,,,,,,,,,,,
Jqm Wholesale,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Jtm Food Group,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Juno,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Just a Dash Catering,customer,,A,,,,,9722 Parkway Drive,Highland,IN,46322,"Type: Caterer

Sales Notes: angel perry, tiana johnson, nicole ward",,,,,,,,,,,,
K. Lefkofsky,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Kasama,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Kasia,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Kathryn's Place,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Kettering Health,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Key Food Services Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Kims Uncle Pizza,customer,,A,,,,,,,,,Type: Casual,,,,,,,,,,,,
"King Kold, INC",distributor,,A,,,,,,Englewood,OH,,Type: Distributor,,,,,,,,,,,,
Kings Dining & Entertainment,customer,,A,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Kings Fish & Chicken - Mattesson,customer,,B,,,,,"400 N. Wells Street, Chicago, Illinois",Chicago,IL,,Type: Casual,,,,,,,,,,,,
Kings Pizza of Rosebud,customer,,C,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Kinzie Chophouse,customer,,C,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Kit Kat Lounge,prospect,,C,,,,,,Chicago,IL,,Type: Bar/Lounge,,,,,,,,,,,,
Kl Trading,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Kraft Heinz Company,customer,,A,,,773-604-8769/312-666-9090,,2423 N. Milwaukee,Chicago,IL,,"Type: Chain/Group Member

Sales Notes: Sent email to Nick asking for path to present",,,,,,,,,,,,
Kuma'S Korner,customer,,A,,,,,2900 W Belmont Ave,Chicago,IL,,Type: Gastropub,,,,,,,,,,,,
Kuna Meat - E. Peoria,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Kwiktrip,customer,,D,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
LA Cafe,prospect,,A,,,,,,Flint,MI,,"Type: Vegan/ Vegetarian

Sales Notes: meeting-awaiting assigned sales rep names",,,,,,,,,,,,
LA Carreta,unknown,,D,,,,,,,,,,,,,,,,,,,,,
LA Casa de Isaac & Moishe,customer,,C,,,,,,Highland Park,IL,,"Type: Fine Dining

Sales Notes: Lead from Lauren Scatena.",,,,,,,,,,,,
LA Catedral,prospect,,C,,,,,2500 S Christiana Ave,Chicago,IL,60623,Type: Breakfast/Brunch,,,,,,,,,,,,
LA Otra Radio Chicago,unknown,,B,,,,,,,,,,,,,,,,,,,,,
LA Rabida Childerns Hospital,prospect,,B,,,,,,,,,Type: Healthcare,,,,,,,,,,,,
Lacoco'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Lady Gregory'S,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Laine Too,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Lannings Foods,distributor,,A,,,,,,Mount Vernon,OH,,Type: Distributor,,,,,,,,,,,,
Lark Restaurant & Bar,customer,,C,,,,,,Chicago,IL,,Type: Casual,,,,,,,,,,,,
Larosa,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Lassen'S Tap,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Lcacao,customer,,B,,,+1-314-477-9085,,,,,,Type: Fine Dining,,,,,,,,,,,,
Le Bouchon,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Le Colonial,customer,,A,,,,,,,IL,,Type: Fine Dining,,,,,,,,,,,,
Leeds Public,customer,,A,,,+1-773-825-2400,,,,,,"Type: Chain/Group Member

Sales Notes: SYSCO CONTRACT",,,,,,,,,,,,
Legacy Hospitality,customer,,A,,,,,,,,,Type: Management company,,,,,,,,,,,,
Leona's Pizzeria,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Lesaffre,prospect,,A,,,+1-773-878-7340,,5419 N Sheridan,Chicago,IL,60647,Type: Group Purchasing Organization,,jMatuszewski@lettuce.com,,,,,,,,,,
Lesa'S Dairy Dip,prospect,,C,,,,,,Bowling Green,KY,,"Type: Fast food

Sales Notes: emailed about samples interest",,,,,,,,,,,,
Letour,customer,,A,,,,,,Evanston,,,Type: Fine Dining,,,,,,,,,,,,
Lfg,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Lillie'S Q,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Lipari,distributor,,A,,,,,,Detroit,,,Type: Distributor,,,,,,,,,,,,
Llcc,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Local West,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Lockeepers,customer,,A,,,,,,Independence,OH,,"Type: Gastropub

Sales Notes: Lead from Delmonicos",,,,,,,,,,,,
Logan'S Roadhouse,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Lola'S Tacos & Tequila,customer,,C,,,+1-847-855-8741,,170 W Grand Ave #337,Gurnee,IL,60031,Type: Ethnic,,,,,,,,,,,,
Long John Silvers,customer,,B,,,+1-773-276-7110,,"2657 N Kedzie Ave Chicago, Il",Chicago,IL,,Type: Casual,,,,,,,,,,,,
Longman &Eagle,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Lost Larson,unknown,,C,,,,,,,,,Sales Notes: Has cheese curds on the menu already. Hoping to switch them to Kaufhold's. .,,,,,,,,,,,,
Lost Never Found,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Lot,customer,,A,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Lou Malnati,customer,,D,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Lowe'S O'Hare,customer,,A,,,,,,,,,Type: Hospitality,,,,,,,,,,,,
Lowlands Group,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Loyola Hospital,prospect,,A,,,,,,,,,Type: Healthcare,,,,,,,,,,,,
Lucchese Italian Restaurant,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Lucellas,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Lucky/S,customer,,A,,,,,,East Lamsing,MI,,"Type: Fine Dining

Sales Notes: chain of 8 restaurantsts-fine steakhouse",,,,,,,,,,,,
Ludwig Fish and Produce,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Lula Cafe,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Macroman Meals,prospect,,C,,,+1-502-289-6464,,1812 W Muhammad Ali Blvd,Louisville,KY,40203,Type: Meal Prep Service,,,,,,,,,,,,
Madame Zusus,prospect,,D,,,+1-847-926-7359,,1876 1st St,Highland Park,IL,60035,Type: Vegan/ Vegetarian,,,,,,,,,,,,
Madison Pub,customer,,B,,,+1-630-455-5520,,"7611 S. Madison St Burr Ridge, Il",,,,Type: Gastropub,,,,,,,,,,,,
Madison Pub & Grill,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Madison'S Pub and Grill,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Madison'S Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Main Street Cafe,unknown,,B,,,+1-312-988-0687,,"731 W Lake St Chicago, Il",Chicago,IL,,,,,,,,,,,,,,
Maki Sushi and Teriyaki,prospect,,C,,,,,,,KY,,Type: Food Truck,,,,,,,,,,,,
Mako,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mali,customer,,A,,,,,,Saugatuck,MI,,"Type: Gastropub

Sales Notes: erun rogers plant based leads gfs",,,,,,,,,,,,
Maloney Cunningham,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Mama Delia,customer,,B,,,+1-312-944-8888,,"8 W Maple St Chicago, Il",Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Mancuso Cheese Company,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Pavlou Restaurant Group,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Pappas Restaurant Group,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Maple and Ash,customer,,A,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Maple Lake Assisted Living,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Maplewood,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Marcus Hotels and Resorts,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mark Burkhalter,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Mark Vend Company,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Mark'S Tavern,customer,,B,,,,,"2121 S Prairie Ave Chicago, Il",Chicago,IL,,"Type: Gastropub

Sales Notes: Sampled FS frites. Paneling 3/8",,,,,,,,,,,,
Marriott Marquis Chicago,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Marshall'S Landing,customer,,C,,,+1-312-610-8050,,222 W Merchandise Mart Plaza,Chicago,IL,60654,"Type: Fine Dining

Sales Notes: Left samples of Frites Street with the GM Mario for Chef Lupe Gonzalez.",,,,,,,,,,,,
"Martin Produce, INC",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Marz,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Matajer Al Arabiah Trading Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Matc College,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Mather,customer,,A,,,,,,,,,Type: Casual,,,,,,,,,,,,
Matrix Club Naperville,prospect,,C,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Matt and Tonys Columbus,customer,,C,,,+1-614-914-8484,,340 E Gay St,Columbus,OH,43215,"Type: Gastropub

Sales Notes: Message Chef Javier Alvarez on how to get him and his team samples",,,,,,,,,,,,
Max and Erma'S,customer,,B,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Mb Restaurant Group LLC,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mccormick Food & Beverage,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Mcnulty'S Bier Markt,prospect,,B,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
"Meats by Linz, INC",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Medinah Cc,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Meijer,unknown,,C,,,,,,,,,Sales Notes: Will visit this week. Will bring fries.,,,,,,,,,,,,
Melco Distributing,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Mercadito,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mercado,customer,,C,,,,,,Fort Wayne,IN,,Type: Casual,,,,,,,,,,,,
Mercy Medical,prospect,,A,,,,,,,IL,,"Type: Healthcare

Sales Notes: GFS ROSEMONT F/U",,,,,,,,,,,,
Merkley & Sons Packing Co,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Merry Milk Maid,distributor,,A,,,,,,Urbancrest,OH,,Type: Distributor,,,,,,,,,,,,
Mesh Systems,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Mesker Park Zoo,unknown,,D,,,,,,,,,"Sales Notes: Chef Amy; sysco, usf, gfs, greco; 2 other locations - City & Uptown...same owner; samplesd and Dill was a favorite",,,,,,,,,,,,
Messiah,customer,,A,,,,,,,,,"Type: College & Universites

Sales Notes: NACUFS SHOWCASE EAST AND SOUTH USA",,,,,,,,,,,,
Metro Grill & Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mexo Gr,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Meyer'S Castle,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mfb,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Michael Jordans,customer,,D,,,,,,,,,"Type: Pizza

Sales Notes: Dropped off a kaufholds kit with the chef, will try with owner.",,,,,,,,,,,,
Michael'S Finer Meat'S,distributor,,A,,,,,,Columbus,OH,,Type: Distributor,,,,,,,,,,,,
Michael'S Pizza,customer,,C,,,,,,,,,Type: Education,,,,,,,,,,,,
Mid Town Distributors,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Midtown Athletic Club,prospect,,A,,,+1-773-796-6523,,2444 N Elston Ave,Chicago,IL,60647,"Type: Country Clubs/Golf/Health Fitness

Sales Notes: Lizet Lopez was the rep here, we are unaware of who the rep is now. I would like to show them Frites Street, Verticle Acres and possibly some of our vegan brands.",,,,,,,,,,,,
Midway Restaurant Dev,unknown,,D,,,,,,,,,Sales Notes: Met Joe Fitzgerald @ Franklin Room. Expressed alot of interest in kennebec high-end fry. Will follow up by email,,,,,,,,,,,,
Midwest Foods,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Midwest Training & Ice Center,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"Milano'S Pizza,Subs and Taps",customer,,C,,,,,,,KY,,Type: Gastropub,,,,,,,,,,,,
Millenium,customer,,A,,,,,,,MI,,Type: Chain/Group Member,,,,,,,,,,,,
Millenium Restaurant Group,customer,,A,,,,,,,MI,,"Type: Chain/Group Member

Sales Notes: Sent emil on TCFB Holiday Blitz",,,,,,,,,,,,
Milwaukee Area Technical College,customer,,D,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Minneapolis Public Schools,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Mino'S Italian,customer,,A,,,,,,Winnetka,,,Type: Fine Dining,,,,,,,,,,,,
Miss Mamies Seafood and Steaks,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mister B'S Pizza and Wings Bowling Green Ky,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mister B'S Pizza and Wings Murray Ky,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mmd,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Modern Interiors,customer,,B,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Moffett Food Service,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Monicals Pizza,customer,,B,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Monteverde,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Moody Bible Institute,customer,,A,,,+1-800-356-6639,,820 N LA Salle Dr,Chicago,IL,60610,"Type: College & Universites

Sales Notes: They are GFS supplied and HPS contracted. Executive chef is Fabian.garcia@moody.edu.",,,,,,,,,,,,
Moody Tongue,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Motor City Soul Food Express,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Mott St,unknown,,B,,,,,1401 N. Ashland Avenue,Chicago,IL,,,,,,,,,,,,,,
Mott Street,unknown,,C,,,,,,,,,,,,,,,,,,,,,
"Msi Foods, INC",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Mugsy'S Hideout Murray,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Munchies,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Munro Pizzaria,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Mush Foods,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Muze,unknown,,C,,,,,,,,,,,,,,,,,,,,,
My Big Fat Shawarma,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Naf Naf Grill,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Nanobrew,unknown,,D,,,,,,,,,,,,,,,,,,,,,
National Restaurant Association,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Nationwide Arena,customer,,A,,,,,200 W Nationwide Blvd,Columbus,OH,43215,"Type: Entertainment/Casinos/Theatres

Sales Notes: Shipped Chef Sean Barger a box of Annasea Ahi Tuna and Salmon",,,,,,,,,,,,
Native Foods,prospect,,B,,,,,,Chicago,IL,,"Type: Vegan/ Vegetarian

Sales Notes: Dame - Owner; On Ja Lee, wife. Interest in PB cheesecake for VDay",,,,,,,,,,,,
Natural Direct,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Naty'S Pizza,customer,,C,,,,,3849 W 26th St,Chicago,IL,,Type: Chain/Group Member,,,,,,,,,,,,
Nehemiah'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Nellies,unknown,,D,,,,,,,,,,,,,,,,,,,,,
New Beginnings Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Newport Cafe & Go Grocer,prospect,,C,,,,,,,,,Type: Retail,,,,,,,,,,,,
Next,customer,,C,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Nick'S Pizza,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Nicky'S Gyro'S,prospect,,C,,,,,,,,,"Type: Fast food

Sales Notes: Received free samples of curds for 30th anniversy. Follow up on samples of frites week of 2-17",,,,,,,,,,,,
No Vacancy,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Noble Dq,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Noble Romans,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Noco Provisions,customer,,B,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
North Point,prospect,,C,,,,,,Lake Zurich,IL,,"Type: Bar/Lounge

Sales Notes: Lead came in from USF Rep Lori Taylor.",,,,,,,,,,,,
North Pond,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
North Star (Brassica Parent?),unknown,,D,,,,,,,,,,,,,,,,,,,,,
Northamerican Concessions,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Northern Il U,customer,,A,,,+1-312-500-6666,,"509 N. Wells Street Chicago, Il",Chicago,IL,,Type: College & Universites,,,,,,,,,,,,
The Patio,customer,,A,,,,,,Chicago,,,"Type: Chain/Group Member

Sales Notes: 800k annual 3/8 Simplot 251019 buyer thru Greco",,,,,,,,,,,,
Northside Yacht Club,customer,,D,,,,,,,,,Type: Education,,,,,,,,,,,,
Northwestern,customer,,A,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Noshville Delicatessen,unknown,,C,,,,,,Nashville,TN,,,,,,,,,,,,,,
Not Just Cookies,unknown,,A,,,,,,Chicago,IL,60651,Sales Notes: Wholesale Bakery at 1340 N Homan in Chicago. ordered Wicks,,,,,,,,,,,,
Notre Dame,customer,,A,,,,,,South Bend,,,Type: College & Universites,,,,,,,,,,,,
Nu Bistro,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Nu Wave,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Obc Kitchens,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Obi Cai Restaurant Group,customer,,A,,,,,,Fort Wayne,IN,,Type: Chain/Group Member,,,,,,,,,,,,
Ocharley,customer,,B,,,+1-773-916-6421,,"4419 W. Montrose Ave Chicago, Il",Chicago,IL,,Type: Gastropub,,,,,,,,,,,,
Ohio University,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Old Irving Brewing Company,customer,,A,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Old National Executive Chef,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Old National Catering Operations Manager,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Old National Concession and Bar Manager,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Old National Director of F&B,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Old National Events Plaza Evansville,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Old River Tap and Social,customer,,B,,,,,,,,,Type: Casual,,,,,,,,,,,,
Olde Stone Country Club,prospect,,C,,,,,,Bowling Green,KY,,"Type: Country Clubs/Golf/Health Fitness

Sales Notes: intro",,,,,,,,,,,,
Olympia Fields,prospect,,A,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Omakase Yume,unknown,,D,,,,,,,,,,,,,,,,,,,,,
O'Mara Foods,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
One Hope United,customer,,B,,,+1-312-496-0012,,622 W. Randolph Street Unitc-101,Chicago,IL,,"Type: Chain/Group Member

Sales Notes: Avac � big star-dubs not Sysco luncheonette � Publican � quality meats � the publican � the violet hour",,,,,,,,,,,,
One of a Kind Hospitality,customer,,A,,,,,,,,,Type: Management company,,,,,,,,,,,,
One Off Hospitality,customer,,A,,,,,,,,,"Type: Management company

Sales Notes: Cooking and topping with cheese to show product and leaving him Samples",,,,,,,,,,,,
Only Fries Food Truck Bg,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Open Kitchens,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Original Bagel & Bialy,customer,,B,,,+1-312-877-5339,,"661 W. Walnut Street, Chicago",Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Oriole,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Orlando Greco & Son Impor,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Osteria Lang He,customer,,D,,,,,,,,,Type: Education,,,,,,,,,,,,
P & L Foodservice Co,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Pancho Food Distibutors,distributor,,A,,,,,,Tinley Park,IL,,"Type: Distributor

Sales Notes: Met with Ken Stieger 1/24",,,,,,,,,,,,
Pancho Food Products,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Panchos Taqueria & Catering,customer,,C,,,,,,,,,Type: Ethnic,,,,,,,,,,,,
Papi'S Pizza,customer,,C,,,,,,Fort Wayne,IN,,Type: Pizza,,,,,,,,,,,,
Pappas,customer,,A,,,,,2501 W. 16th Street,Chicago,IL,,"Type: Chain/Group Member

Sales Notes: The Hampton social Nisos prime bass mint Costa the Hampton social",,,,,,,,,,,,
Parker Restaurant Group,customer,,A,,,,,,,,,"Type: Management company

Sales Notes: +1 (312) 846-6158 1017 N Halsted St Chicago, IL 60642 United States",,,,,,,,,,,,
Parker'S,customer,,C,,,,,,Downers Grove,,,Type: Fine Dining,,,,,,,,,,,,
Parkhurst Dining,prospect,,A,,,,,,Pittsburgh,PA,,"Type: Group Purchasing Organization

Sales Notes: W/w sustainability and sourcing director for over 400 MW accounts served",,,,,,,,,,,,
Parlay Bar and Kitchen,customer,,B,,,,,1100 Dennison Ave,Columbus,OH,43201,"Type: Entertainment/Casinos/Theatres

Sales Notes: Shipped Director of Operations Joe Flynn(Peerless Managment Group) a Annasea sample Pack",,,,,,,,,,,,
Parts Town,customer,,D,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Pat'S Pizza and Ristorante,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Paulie Gee's,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Pavlou Group,customer,,A,,,,,,Valparaiso,IN,,"Type: Chain/Group Member

Sales Notes: Chris Pavlou owns Radius, Maple and Bacon, TommyB's, Sandwich City and two more CP locations. Ched Edward at Maple and Chef Louis at Radius",,,,,,,,,,,,
Ohio State,customer,,A,,,,,,,OH,,"Type: College & Universites

Sales Notes: Sent TCFB Holiday promo",,,,,,,,,,,,
Peaches' Cafe/Uofc,customer,,A,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Pear Chef,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Peck Distributing,distributor,,A,,,,,,Maple Heights,OH,,Type: Distributor,,,,,,,,,,,,
Penn State,customer,,A,,,,,,,,,"Type: College & Universites

Sales Notes: NACUFS SHOWCASE EAST AND SOUTH USA",,,,,,,,,,,,
Penn Station,unknown,,D,,,,,,,,,"Sales Notes: Buying USF Dill, low usage caused special order status",,,,,,,,,,,,
Pepino'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Pepsico,customer,,C,,,+1-773-327-1512,,2207 N Clybourn Ave,Chicago,IL,,Type: Pizza,,,,,,,,,,,,
Pequod'S Pizza,customer,,A,,,+1-847-470-9161,,8520 Fernald Ave,Morton Grove,IL,,Type: Pizza,,,,,,,,,,,,
Perf Fs - Bowling Green,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Perf Fs - Cincinnati,distributor,,A,,,,,,Cincinnati,OH,,Type: Distributor,,,,,,,,,,,,
Pescadon,customer,,B,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
PFG - Reinhart Bg House,distributor,,A,,,,,,Bowling Green,KY,,Type: Distributor,,,,,,,,,,,,
