name,organization_type,priority,segment_name,phone,linkedin_url,address,city,state,postal_code,notes
University of Wisconsin Madison,customer,B,Gastropub,,,,,,,
Upper crust,customer,A,Management Company,573-874-3033,,2011 corona road suite 203,Columbia,MO,65203,Director of procurement -services fraternities and sororities and camps
Upstairs Pub,customer,B,Chain/Group,,,,,,,
urban transformation,customer,B,Gastropub,,,,,,,
US Foods-Fishers,distributor,A,Distributor,,,,Fishers,IN,,2 emails unanswered. Will phone week pf 6-16
US Foods-Indy,distributor,A,Distributor,,,,Fishers,IN,,2 emails unanswered. Will phone week pf 6-16
US Foods-Bensenville,distributor,A,Distributor,,,,,,,Emailed announcing TCFB Holiday and McCrum representation
US Foods,distributor,A,Distributor,,,,,,,Emailed announcing TCFB Holiday and McCrum representation
US Foods Direct,distributor,A,Distributor,,,,,,,Emailed announcing TCFB Holiday and McCrum representation
USF,distributor,A,Distributor,,,,45691,,,Emailed announcing TCFB Holiday and McCrum representation
UW-Madison,unknown,B,,,,,,,,
UW-Stout Dinning Service,customer,B,Gastropub,,,,,,,
Valhalla,unknown,C,,,,,,,,
VALLEY WHOLESALE FOODS,distributor,A,Distributor,,,,PORTSMOUTH,OH,,
Valparaiso University,unknown,B,,,,,,,,
VAN EERDEN,distributor,A,Distributor,,,,,MI,,
VAN EERDEN DROP SHIP/E&S,distributor,A,Distributor,,,,,MI,,
VAN TREESE & ASSOCIATES,distributor,A,Distributor,,,,,IN,,
Vanderbilt University,unknown,A,,,,,,,,
Vaughan hospitality,customer,A,Chain/Group,(312) 867-7717,https://vaughanhospitality.com,2744 West Roscoe St.,Chicago,IL,,No longer Sysco
Vegan Bar,customer,C,Casual Dining,,,,,,,
Vegan Street,unknown,B,,,,,,,,
VegNews and VeganStreet.com,unknown,B,,,,,,,,
Versailles Food Mart,unknown,B,,,,,,,,
Vette City Catering(BG Hot Rods Milb),customer,C,Catering,,,,Bowlingn Green,KY,,emailed about samples interest
Villa Ballanca,prospect,C,Italian,,,,,,,
Village of Wheeling,unknown,B,,,,,,,,
Village Squire,unknown,B,,,,"323 E. Wacker Drive, Chicago, Illinois",Chicago,IL,,
Vinegar Solutions,unknown,B,,,,,,,,
VIRGINIA TECH,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
VIRTUE,customer,A,Chain/Group,,,,,,,
Vistro Vegan Fare,customer,C,Casual Dining,,,,,KY,,"Drop of all plant based samples with owner Melinda (Landlovers, Swap,better balnce,never better) also wonder juice"
Vito's Pizza,customer,C,Pizza,,,,,,,
W.R. HACKET INC,distributor,A,Distributor,,,,SPRINGFIELD,OH,,
WABASH FOODSERVICE,distributor,A,Distributor,,,,,IN,,
WABASH FOODSERVICE/E&S,distributor,A,Distributor,,,,,IN,,
WABASH SEAFOOD,distributor,A,Distributor,,,,CHICAGO,IL,,
Gino's Steakhouse,customer,A,Fine Dining,,,,merrillville,IA,,Chef Mario and Jimmy Owner
Walker Bros,prospect,A,Breakfast/Brunch,,,153 Green Bay Rd,winnetka,IL,,
WALLACE FOODS,distributor,A,Distributor,,,,CANTON,OH,,
WALTER & SONS INC.,distributor,A,Distributor,,,,WAPAKONETA,OH,,
Warlord,unknown,B,,,,,,,,
Washington State University,unknown,A,,,,,,,,
Washington State University,unknown,A,,,,,,,,
Weather Mark Tavern,customer,C,Gastropub,,,1503 s michigan ave,Chicago,IL,,Gave a PFG kurd kit
Weather Tech,unknown,A,,,,,,,,
West Suburban Community Pantry,unknown,B,,,,,South Bend,IN,,cheryl Bauer emails to intro BB after LL acceptance
western michigan,customer,A,Education,,,,,MI,,
Western Michigan University,customer,A,Education,,,,,,,Gordon
Westin Lombard,customer,A,Hospitality,,,,,,,
WGN,customer,B,Catering,+1 (312) 733-9555,,"837 w Fulton market, Chicago, IL",Chicago,IL,,
What Chefs Want,distributor,A,Distributor,,,2055 Nelson Miller Parkway,Louisville,KY,40223,
WHITE FEATHER FARMS OF OH,distributor,A,Distributor,,,,PATASKALA,OH,,
White Rhino,customer,C,Gastropub,,,,,,,
Whole Foods,customer,B,Fine Dining,,,,,,,
Wicks,principal,A,Gastropub,,,,Saugatuck,MI,,erun rogers plant based leads gfs
Wild Goose,customer,B,Casual Dining,,,,,,,
Wild Thing Restaurants,customer,B,Ethnic Cuisine,,,,,,,
Willow Oaks Golf Club,prospect,C,Country Clubs/Golf/Health Fitness,,,,Glasgow,KY,,contacted about samples
Wind Creek Casino,customer,A,Entertainment,,,,,,,
Windy City Media Group,unknown,B,,,,,,,,
Wings Etc.,customer,A,Chain/Group,,,,fort wayne,IN,,presented RR sauces Tandoori amd Butter chicken on drums and in cubess; left Kurd kit;presented BB hot dogs and land lovers filet
wl social house,customer,A,Gastropub,,,,,MI,,
WMU,customer,A,Education,,,,,MI,,
WOW Pizzeria,customer,C,Casual Dining,,,,,,,
Yancey's Gastropub and Brewery,customer,C,Gastropub,,,,,,,
YARDBIRD GROUP,customer,A,Gastropub,,,,,,,
Yogi's Bar,customer,A,Casual Dining,,,,Dublin,OH,,Mike dropping off Curdtown samples Monday
YOUNGSTOWN WLSE GROCERY,distributor,A,Distributor,,,,,,,
yourstruly,customer,A,Gastropub,,,,Independence,OH,,Lead from Delmonicos
ZALACK'S FLINT PROVISIONS,distributor,A,Distributor,,,,,MI,,
Zel�s Great Roast Beef,customer,B,Gastropub,,,,,,,
Zels Great Roast Beef,unknown,B,,,,,,,,
Ziggys,customer,A,Gastropub,,,,Amherst,OH,,W/w Atalntic Distributor Rep JOSH CHAMBERS
ZOGALO FOODS,customer,C,Fine Dining,,,,,,,
Finish Line Sports Bar,prospect,C,Bar/Lounge,,,,Bowling Green,KY,,samples Kaufholds
Dougs Motor City,prospect,A,Bar/Lounge,,,,Bowling Green,KY,,samples Kaufholds
Novo Dolce,customer,A,Gastropub,,,,Bowling Green,,,
Uncommon Ground,customer,B,Casual Dining,,,,Chicago,,,"FS; all plant-based, local lines"
Perilla Steakhouse,customer,C,Fine Dining,,,,Chicago,IL,60601,
Tamburrino's Pizza,customer,C,Casual Dining,,,,Bowling green,KY,42164,Tried the Kaufhold sample pack plus Ranch and Beer Battered
Clover's Bar & Grill,customer,C,Casual Dining,,,,Oak Forrest,,,TCFB lead. Contact is Dottie. Rep is Chris P.
Olympic Star,customer,C,Casual Dining,,,,Tinley Park,,,TCFB lead. Contact is Eva Garvis. Chris P is rep
Diamond Pancake House,customer,C,Casual Dining,,,,Oak Brook,,,TCFB lead. Contact is Jose Carillo. Rep is Chris P
Ball Park,customer,C,Casual Dining,,,,Chicago,,,TCFB lead. Contact is Rich. Rep is Jim
Brooklyn Pizza,customer,C,Casual Dining,,,,Chicago,,,TCFB lead. Contact is Tony. Rep is Jim
Krave,customer,A,Casual Dining,,,,oak Lawn,,,TCFB lead. Contact is Moe. Rep is Jim.
Triano's,customer,C,Pizza,,,,Chicago,,,TCFB lead. Contact is Moe. Rep is Jim.
Donatos Pizza,customer,A,Pizza,,,,Columbus,OH,,Message Cynthia Ottavio Director of R&D
Market Fresh Restaurant Group,customer,A,Chain/Group,,,,Mishawaka,IN,,Chef Oscar at Evil Czech dropped Mcrim for Stanz
Evil Czech,customer,A,Chain/Group,,,,Mishawaka,IN,,Sierra Valdez Director of Ops for Group and Dustin Barret is GM of Evil
Corndance,customer,A,Chain/Group,,,,Mishawaka,IN,,Sierra Valdez Director of Ops for Group and Dustin Barret is GM of Evil
Jesus Latin Grill,customer,A,Chain/Group,,,,Mishawaka,IN,,Sierra Valdez Director of Ops for Group and Dustin Barret is GM of Evil
Landon's,unknown,B,,,,,,,,
Carnegie,customer,A,Chain/Group,,,,Mishawaka,IN,,Sierra Valdez Director of Ops for Group and Dustin Barret is GM of Evil
Bourbon and Butcher,customer,A,Chain/Group,,,,Mishawaka,IN,,Sierra Valdez Director of Ops for Group and Dustin Barret is GM of Evil
3 Monkey's,prospect,A,Chain/Group,,,,Crown Point,IN,,Mike Hemiger
CASCADE HILLS COUNTRY CLUB� 18682E,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
GARLAND LODGE FOOD AND BEVERAGE,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Treetops - Top Of Hill,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Mise En Place Culinary Consulting,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
BROWN JUG,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Mad Anthony - Taylor - 371788E,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MONROE ST DINER,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Double Down Desserts,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Crowes Nest Caf�,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
NEW HUDSON INN 371779E,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Plant Based Coney's,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Troy Escape,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
THE PITA POST,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
CHURCHILL'S FOOD & SPIRITS,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
RED BARON (THE),customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
THE SAWMILL GOLF CLUB,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
SAGINAW CLUB,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
RIVERWALK GRILL,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
The Vault Downtown,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
The Laundry,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
LOUHELEN BAHA'I SCHOOL,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MATADOR'S PIZZA & TAKE OUT,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
BAY CLIFF HEALTH CAMP,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MARIA HEALTH CARE CENTER,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
FLAT ROCK CARE CENTER,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
LINCOLN LAKE BAPTIST YOUTH CAMP,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Bronson Behavioral Hospital,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
The Heartlands,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
HENRY FORD COLLEGE,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Telluride Association,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
COMMUNITY PROGRAMS,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Memorial Healthcare - Cafe,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MICHIGAN STATE POLICE TRAINING DIVI,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MICH MED- UNIV HOSPITAL-DOCK 5- 202,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MDINING- TEST KITCHEN 689175,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
ST PETER LUTHERAN SCHOOL ACCOUNT,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MASON COUNTY CENTRAL SCHOOLS,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
MICHINDOH CONFERENCE CENTER,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
WASHINGTON TWP SCHOOLS WAREHOUSE,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Northville Public Schools,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
SPECTRUM JUVENILE JUSTICE SERVICES,customer,A,Casual Dining,,,,,MI,,GFS NOVI show leads
Tara Mcmurty,prospect,C,Food Truck,,,,Scottsville,KY,42164,Going to Cater 400 people at a Barbra O'Neil Seminar
Pizza Wholesale of Lexington,distributor,A,Distributor,,,,Paris,KY,40361,going to contact about bakeable cheese curds
The Swing Club,prospect,C,Food Truck,,,,Scottsville,KY,,Runs a Top Golf style driving range just opened
Azzip Pizza,customer,C,Pizza,,,,Evansville,IN,,10 unit pizza place in IN and KY
Powers Health,prospect,C,Healthcare,,,,,,,4 unit hospital
Rafeal's Sports Bar,customer,C,Casual Dining,,,,Glasgow,KY,,
Ralphie's Fun Center,customer,C,Entertainment,,,,Glasgow,KY,,
Independence Village of Ames,unknown,B,,,,,,,,Gfs rosemont 2025 lead
ABBVIE AP30,prospect,C,Business and Industry,,,,,,,Gfs rosemont 2025 lead
ACARATH MONTESSORI,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Ami-Gos Tacos,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Angry Octopus,unknown,C,,,,,,,,Gfs rosemont 2025 lead
APOSTOLIC CHURCH OF GOD,unknown,C,,,,,,,,Gfs rosemont 2025 lead
ASSEMBLY AMERICAN BAR & CAFE (THE),unknown,C,,,,,,,,Gfs rosemont 2025 lead
Beverly Country Club,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Countrytime Kettle Korn McHenry,unknown,C,,,,,,,,Gfs rosemont 2025 lead
CREME OF THE CROP,unknown,C,,,,,,,,Gfs rosemont 2025 lead
DR JOHN WARNER HOSPITAL,unknown,C,,,,,,,,Gfs rosemont 2025 lead
EPIC BURGER-PEARSON ST,unknown,C,,,,,,,,Gfs rosemont 2025 lead
ESPERANZA SCHOOL,unknown,C,,,,,,,,Gfs rosemont 2025 lead
GAME ON BAR & GRILL,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Hampshire Township Park District,unknown,C,,,,,,,,Gfs rosemont 2025 lead
KIRBY MEDICAL CENTER,unknown,C,,,,,,,,Gfs rosemont 2025 lead
KIRK'S BBQ,unknown,C,,,,,,,,Gfs rosemont 2025 lead
KNIGHTS OF COLUMBUS #1282,unknown,C,,,,,,,,Gfs rosemont 2025 lead
LA RABIDA CHILDRENS HOSPITAL,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Louies Waffle House,unknown,C,,,,,,,,Gfs rosemont 2025 lead
MARY'S PLACE,unknown,C,,,,,,,,Gfs rosemont 2025 lead
NIVRAM BALMORAL NURSING,unknown,C,,,,,,,,Gfs rosemont 2025 lead
North Island Catering,unknown,C,,,,,,,,Gfs rosemont 2025 lead
PARAMOUNT THEATRE,unknown,C,,,,,,,,Gfs rosemont 2025 lead
PEACE MEAL CENTRAL OFFICE,unknown,C,,,,,,,,Gfs rosemont 2025 lead
POST 18 AMERICAN LEGION,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Queen of Peace Retirement,unknown,C,,,,,,,,Gfs rosemont 2025 lead
RUSH U MED-GEN KITCHEN PO589563,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Sassy Mac Boys,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Storypoint Of Bolingbrook,unknown,C,,,,,,,,Gfs rosemont 2025 lead
The Ice Cream Shop,unknown,C,,,,,,,,Gfs rosemont 2025 lead
The Matrix Room,unknown,C,,,,,,,,Gfs rosemont 2025 lead
The Pointe at Morris,unknown,C,,,,,,,,Gfs rosemont 2025 lead
The Shores of Fairmont,unknown,C,,,,,,,,Gfs rosemont 2025 lead
THS-GOTTLIEB MEMORIAL DIETARY-H0182,unknown,C,,,,,,,,Gfs rosemont 2025 lead
U OF I- HOUSING FOOD STORES,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Washington Grade School District 52,unknown,C,,,,,,,,Gfs rosemont 2025 lead
10Forty Banquets & Catering,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Area Career Center,unknown,C,,,,,,,,Gfs rosemont 2025 lead
GOBLIN AND THE GROCER,unknown,C,,,,,,,,Gfs rosemont 2025 lead
MERRILLVILLE REGIONAL MENTAL HEALTH,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Notre Dame-110 South Dining Hall,unknown,C,,,,,,,,Gfs rosemont 2025 lead
State Park Little League,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Taco Depot Crown Point,unknown,C,,,,,,,,Gfs rosemont 2025 lead
CLEMENTINE'S SALOON,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Daydreamer Domes,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Ludington Pub,unknown,C,,,,,,,,Gfs rosemont 2025 lead
WUSKOWHAN PLAYERS CLUB,unknown,C,,,,,,,,Gfs rosemont 2025 lead
AGING AND DISABILITY RESOURCE CENTE,unknown,C,,,,,,,,Gfs rosemont 2025 lead
BJ'S RESTAURANT,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Faklandia Brewing,unknown,C,,,,,,,,Gfs rosemont 2025 lead
FORT ATKINSON FAMILY RESTAURANT,unknown,C,,,,,,,,Gfs rosemont 2025 lead
HSL West Allis Assisted,unknown,C,,,,,,,,Gfs rosemont 2025 lead
L G YOUTH CAMP-GATE 2,unknown,C,,,,,,,,Gfs rosemont 2025 lead
MACS,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Moxie Coffee Caf� Catering,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Timber-Lee Ministries,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Independence Village of Avon,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Independence Village of Waukee,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Jelka Leedle,unknown,C,,,,,,,,Gfs rosemont 2025 lead
JULIE WENDORF,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Kelly,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Kimberly Woods,unknown,C,,,,,,,,Gfs rosemont 2025 lead
King-Bruwaert House,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Maija's Families Foods,unknown,C,,,,,,,,Gfs rosemont 2025 lead
Paulie�s,unknown,C,,,,,,,,Gfs rosemont 2025 lead
the woods of Caledonia,unknown,C,,,,,,,,Gfs rosemont 2025 lead
West Carroll Middle School,unknown,C,,,,,,,,
The Big Dipper,prospect,C,Fast food,,,,Owensboro,KY,,SherryAshby is the GM
It's J's Good Grub,prospect,C,Food Truck,,,,Owensboro,KY,,Jay and Antoinette Johnson
Michigan State Police Acadamy,prospect,A,Military/Government,,,,Lansing,MI,,Angella Jirovec
Great Lakes CHR Homes,prospect,B,Healthcare,,,,lansing,MI,,Angella Jirovec
Culver's,customer,A,Chain/Group,,,,,,,Chef Woody Bates key ally
MDINING- TEST KITCHEN 689175,unknown,A,,,,,,,,Gfs novi show lead 4/25
MDINING- TEST KITCHEN 689175,unknown,A,,,,,,,,Gfs novi show lead 4/25
ANDERSON FOODS,unknown,A,,,,,,,,Gfs novi show lead 4/25
Battle Alley Brewing Company,unknown,A,,,,,,,,Gfs novi show lead 4/25
BAY CLIFF HEALTH CAMP,unknown,A,,,,,,,,Gfs novi show lead 4/25
Belva�,unknown,A,,,,,,,,Gfs novi show lead 4/25
BENS SUPERCENTER,unknown,A,,,,,,,,Gfs novi show lead 4/25
Bluebird,unknown,A,,,,,,,,Gfs novi show lead 4/25
BOARDWALK (THE),unknown,A,,,,,,,,Gfs novi show lead 4/25
Boyne River Inn,unknown,A,,,,,,,,Gfs novi show lead 4/25
BSA-COLE CANOE,unknown,A,,,,,,,,Gfs novi show lead 4/25
C K O S - Catered Events�,unknown,A,,,,,,,,Gfs novi show lead 4/25
Cardinal Pizza,unknown,A,,,,,,,,Gfs novi show lead 4/25
CDS - Miracle Camp and Retreat Cent,unknown,A,,,,,,,,Gfs novi show lead 4/25
Chart Room,unknown,A,,,,,,,,Gfs novi show lead 4/25
Chico's Bar and Grill,unknown,A,,,,,,,,Gfs novi show lead 4/25
COMM ACTION - HEAD START,unknown,A,,,,,,,,Gfs novi show lead 4/25
COUNTRY VIEW BULK FOODS,unknown,A,,,,,,,,Gfs novi show lead 4/25
Cut River Grille,unknown,A,,,,,,,,Gfs novi show lead 4/25
Daybreak Cafe,unknown,A,,,,,,,,Gfs novi show lead 4/25
DELTON MEMORIAL VFW #422,unknown,A,,,,,,,,Gfs novi show lead 4/25
DETROIT PIZZA FACTORY,unknown,A,,,,,,,,Gfs novi show lead 4/25
Dockside Torch Lake,unknown,A,,,,,,,,Gfs novi show lead 4/25
Double Down Desserts,unknown,A,,,,,,,,Gfs novi show lead 4/25
DUCK LAKE COUNTRY CLUB 40461E,unknown,A,,,,,,,,Gfs novi show lead 4/25
Eighteen87,unknown,A,,,,,,,,Gfs novi show lead 4/25
EMBASSY BAR & GRILL,unknown,A,,,,,,,,Gfs novi show lead 4/25
FEED BAG CAFE (THE),unknown,A,,,,,,,,Gfs novi show lead 4/25
GAYLORD BOWLING CENTER,unknown,A,,,,,,,,Gfs novi show lead 4/25
GILLIES CONEY ISLAND/MT MORRIS,unknown,A,,,,,,,,Gfs novi show lead 4/25
HACIENDA MEXICAN REST H-1,unknown,A,,,,,,,,Gfs novi show lead 4/25
HAMLIN PUB - ROCHESTER HILLS,unknown,A,,,,,,,,Gfs novi show lead 4/25
HENRY FORD COLLEGE,unknown,A,,,,,,,,Gfs novi show lead 4/25
HENRY'S RESTAURANT- OTTAWA,unknown,A,,,,,,,,Gfs novi show lead 4/25
HOG'S BACK FOOD CO-OP\ CAROLYN PERU,unknown,A,,,,,,,,Gfs novi show lead 4/25
Jayell Smoke House,unknown,A,,,,,,,,Gfs novi show lead 4/25
KEYS (THE),unknown,A,,,,,,,,Gfs novi show lead 4/25
LOUHELEN BAHA'I SCHOOL,unknown,A,,,,,,,,Gfs novi show lead 4/25
MORRISON LAKE GOLF CLUB,unknown,A,,,,,,,,Gfs novi show lead 4/25
Mrs. C�s Grilled Cheese,unknown,A,,,,,,,,Gfs novi show lead 4/25
POTTERVILLE INN,unknown,A,,,,,,,,Gfs novi show lead 4/25
PRINCIPLE BUSINESS ENTERPRISES,unknown,A,,,,,,,,Gfs novi show lead 4/25
Put In Bay Resort,unknown,A,,,,,,,,Gfs novi show lead 4/25
RIVER ROCK BAR & GRILL,unknown,A,,,,,,,,Gfs novi show lead 4/25
RIVERFRONT GRILLE,unknown,A,,,,,,,,Gfs novi show lead 4/25
RIVERWALK GRILL,unknown,A,,,,,,,,Gfs novi show lead 4/25
ROYAL OAK AMERICAN LEGION,unknown,A,,,,,,,,Gfs novi show lead 4/25
SAGINAW CLUB,unknown,A,,,,,,,,Gfs novi show lead 4/25
Shafer's Smoked Meats,unknown,A,,,,,,,,Gfs novi show lead 4/25
shawnee country club,unknown,A,,,,,,,,Gfs novi show lead 4/25
SMALL BATCH AT THE CUPOLA ROOM,unknown,A,,,,,,,,Gfs novi show lead 4/25
Smokin' Pigs by Bigs,unknown,A,,,,,,,,Gfs novi show lead 4/25
ST PETER LUTHERAN SCHOOL ACCOUNT,unknown,A,,,,,,,,Gfs novi show lead 4/25
SUNRISE WAREHOUSE,unknown,A,,,,,,,,Gfs novi show lead 4/25
The Cortland Northview,unknown,A,,,,,,,,Gfs novi show lead 4/25
The Little Store,unknown,A,,,,,,,,Gfs novi show lead 4/25
The Mayfield Tavern,unknown,A,,,,,,,,Gfs novi show lead 4/25
The Pepper Mill,unknown,A,,,,,,,,Gfs novi show lead 4/25
Towneplace Suites Ann Arbor,unknown,A,,,,,,,,Gfs novi show lead 4/25
Trackside Eatery & Pub,unknown,A,,,,,,,,Gfs novi show lead 4/25
TRAILS END PUB,unknown,A,,,,,,,,Gfs novi show lead 4/25
Troy Escape,unknown,A,,,,,,,,Gfs novi show lead 4/25
Turnaround Bar And Grille,unknown,A,,,,,,,,Gfs novi show lead 4/25
Village Place- Greek,unknown,A,,,,,,,,Gfs novi show lead 4/25
Zachariah's Chocolates,unknown,A,,,,,,,,Gfs novi show lead 4/25
Zefs Lighthouse Tavern,unknown,A,,,,,,,,Gfs novi show lead 4/25
MICHIGAN STATE POLICE TRAINING DIVI,unknown,A,,,,,,,,Gfs novi show lead 4/25
SLOW'S TO GO 002,unknown,A,,,,,,,,Gfs novi show lead 4/25
Treetops - Top Of Hill,unknown,A,,,,,,,,Gfs novi show lead 4/25
All Nite Mobile Cafe,unknown,A,,,,,,,,Gfs novi show lead 4/25
BRIGHTMOOR CHRISTIAN CHURCH,unknown,A,,,,,,,,Gfs novi show lead 4/25
CAMP BLODGETT,unknown,A,,,,,,,,Gfs novi show lead 4/25
CAMP CO-BE-AC,unknown,A,,,,,,,,Gfs novi show lead 4/25
Carmella's Italian Ice,unknown,A,,,,,,,,Gfs novi show lead 4/25
LINCOLN LAKE BAPTIST YOUTH CAMP,unknown,A,,,,,,,,Gfs novi show lead 4/25
Sparrow Eaton,unknown,A,,,,,,,,Gfs novi show lead 4/25
The New Tubbs Lake Resort,unknown,A,,,,,,,,Gfs novi show lead 4/25
Merry Go Around,unknown,C,,,,,evansville,IN,,left Kaufhold Sample pack
Burger and Bowl,unknown,A,,,,,bowling green,KY,,Talked with chef Alfredo with Sasha group
Giovanni's Pizza,customer,A,Pizza,,,,ashland,KY,,40 locations!
The Drake - Oakbrook,customer,A,Hospitality,,,,Oakbrook,IL,,
Hyatt Lodge,customer,A,Hospitality,,,,Oakbrook,IL,,Chef loved the samples; follow-up when SPIFF begins
Mariott Naperville,customer,A,Hospitality,,,,Naperville,IL,,Chef loved the samples; follow-up when SPIFF begins
Allegory,customer,B,Gastropub,,,,Naperville,IL,,Chef likely to buy are 4 skus
SixtyFour,customer,B,Fine Dining,,,,Naperville,IL,,Loved the product
TAR &Feather Concessions,prospect,C,Food Truck,,,,Westmoreland,TN,,sells bagels was looking for interest on plant base cream cheese
White Hawk CC,prospect,A,Country Clubs/Golf/Health Fitness,,,,Crown Point,IN,,May be worth looking into. 100+ units. Sysco account. Churros on menu. Tenn based
Hot Chicken Takeover,customer,A,Chain/Group,OH,Columbus,,Columbus,OH,,11 locations
Charleys Steakery,customer,A,Chain/Group,,,,Columbus,OH,,600 locatios!
The Peach Cobbler,customer,A,Chain/Group,,,,,,,
I,unknown,B,,,,,,,,
Indian Hills Country Club,prospect,C,Country Clubs/Golf/Health Fitness,,,,Bowling Green,KY,,
Finish Line,prospect,C,Bar/Lounge,,,,Bowling Green,KY,,
Bowling Green Country Club,prospect,C,Country Clubs/Golf/Health Fitness,,,,Bowling Green,KY,,
Southern Lanes Bowling and arcade,customer,C,Entertainment,,,,Bowling in Bowling Greenb,KY,,Kaufholds sample pack
Wings Station BG,prospect,C,Fast food,,,,bowling Green,KY,,talked to owner if it had calm down for grand opening enough to revisist curds
Jacobs Pub,customer,C,Gastropub,,,,Evansville,KY,,has cheese curds on menu but are they the best Kaufholds
Four Winds Casino,customer,A,Entertainment,,,,South Bend,IN,,
Stevens Point,customer,A,Education,,,,Stevens Point,WI,,Sampled at NACUFS
Wisconsin Union,customer,A,Education,,,,Madisom,WI,,Sampled at NACUFS
University of Minnestota - Duluth,customer,A,Education,,,,Duluth,MN,,Sampled at NACUFS
University of Missouri,customer,A,Education,,,,Columbia,MO,,Sampled at NACUFS
ACF Sound Bend,prospect,A,Business and Industry,,,,South Bend,IN,,
The Rose Hotel,prospect,A,Travel,,,,,IL,,Testa VAF BLITZ
Three Embers Restaurant @ Marriott Lincolnshire Resort,unknown,A,,,,,,IL,,Testa VAF BLITZ
Hyatt Centric Rosemont,prospect,A,Travel,,,,,IL,,Testa VAF BLITZ
Foodstuff's Evanston,unknown,A,,,,,,IL,,Testa VAF BLITZ
Zelda's Catering,unknown,A,,,,,,IL,,Testa VAF BLITZ
Abigail's,unknown,A,,,,,,IL,,Testa VAF BLITZ
Summer House (Halsted Street Kitchen),unknown,A,,,,,Chicago,IL,,Testa VAF BLITZ Limcoln Park
Kingling Cookout & Cocktails,unknown,A,,,,,Chicago,IL,,Testa VAF BLITZ 202 Franklin St-Chicago
Lago Lake Zurich,unknown,A,,,,,,IL,,Testa VAF BLITZ
